Id,Husb,Wife,Children
F1,I1,I2,I22|I3
F2,I4,I19,I1
F3,I5,I16,I500344|I500869|I13|I500369|I4|I7
F4,I3,I6,I500181
F5,I7,I8,I9
F6,I11,I12,I500351|I5|I501847|I502010|I500982|I500407|I500365
F8,I17,I18,I500352|I501853|I16|I501925|I501955|I501967|I501983|I502033|I500954|I500989|I511248
F9,I20,I73,I65|I87|I19|I64
F10,I21,I500022,I20|I500061|I500069|I500070|I500071|I500072|I500073|I500074
F11,I22,I23,I24|I25
F12,I26,I27,I23|I28
F13,I29,I28,I30
F14,I31,I34,I26|I33
F15,I32,I105,I31|I540125|I540126
F16,I35,I104,I34
F17,I38,I33,I37
F18,I88,I39,""
F19,I40,I41,I78|I44|I42|I2|I43
F20,I42,I46,I45|I47
F21,I49,I47,I48
F22,I500842,I51,I40|I106|I121|I500234|I500236|I500009|I500305|I500235
F23,I52,I53,I41|I500309|I500312
F24,I43,I54,I62|I61|I58
F25,I82,I44,I59|I79
F26,I3,I57,I56
F27,I45,I60,I77
F28,I63,I59,I80|I81
F29,I66,I64,I67
F30,I68,I67,""
F32,I71,I177,I72|I29
F33,I72,I74,I75
F34,I76,I500021,I500345|I500889|I500524|I500363|I501418|I506503|I500385|I500389|I73
F37,I89,I39,""
F38,I90,I500334,I89
F39,I91,I64,I92|I93
F40,I94,I93,I96|I95
F41,I98,I96,I97
F42,I99,I92,I102|I101
F43,I87,I100,""
F44,I95,I103,I193|I194
F45,I500262,I106,I109|I110|I111|I120|I107
F46,I537155,I107,I112|I114
F47,I500268,I109,I500269|I500270|I500271|I115
F48,I500267,I110,I117|I119
F49,I123,I124,I46|I122|I125|I126
F50,I128,I122,I127
F51,I130,I126,I129
F52,"",I125,I131|I133
F53,I135,I134,I137|I136|I49
F54,I136,I138,""
F55,I139,I137,I140
F57,I142,I33,I146
F60,I146,I148,I147|I151
F62,I146,I152,I153
F63,I155,I154,I39|I161
F64,I156,I157,I155|I185|I533565|I533566|I186|I187
F65,I158,I159,I154|I503263|I503265|I503273|I503274|I503275|I503276
F66,I161,I163,I164|I162
F67,"",I164,I165
F68,I61,I168,I167
F69,I169,I58,I500310|I500311
F70,I79,I170,I171
F71,I173,I500042,I21|I500184|I500370|I500388|I500948|I501242|I501282|I172
F72,"",I101,I174
F73,I176,I37,I500182|I500183
F74,I178,I530464,I88|I503259|I503261
F75,I179,I502895,I502879|I104|I502896
F76,I180,I540124,I35|I181|I540123
F79,I533585,I186,I189
F81,I195,I24,I500007
F82,I197,I198,I195|I199|I196
F83,I200,I500001,I198
F500001,I500002,I500006,I98
F500003,I65,I500008,""
F500005,I500014,I503026,I53|I500013
F500006,I500013,"",I500019|I500018|I500016
F500009,I500020,"",I90
F500010,I500023,I501772,I12
F500011,I500024,I500025,I71|I500031|I500032|I500033|I500034|I500035|I500036
F500012,I500027,I500026,I177|I500028|I500029|I500030
F500013,I500037,I503149,I91|I531845|I505279
F500014,I500044,I500061,I500053|I500054|I500045|I513642|I535349
F500015,I500046,I500047,I500044|I500057|I501322|I501492|I500056|I500117|I500112
F500016,I500048,I500049,I500068|I500047
F500017,I500045,I500050,I500052|I500051|I500075|I500060
F500020,I500066,I500067,I500022|I501487
F500021,I500076,I500281,I500078|I500197
F500022,I500052,I500080,I500079
F500023,I500079,I500081,""
F500026,I500086,I500087,I76
F500027,I500089,I500088,I500021
F500028,I500090,"",I200
F500029,I500091,"",I500090
F500030,I500093,I500094,I500549|I500496|I500536|I500377
F500031,I500095,I500096,I500531|I500094|I500346|I501849
F500032,I500098,I500097,I500093|I500438|I500432
F500035,I500108,I500054,""
F500036,I500109,I500053,I500110|I500142
F500037,I500111,I500060,""
F500038,I500112,I500113,I502436
F500039,I500114,I500115,I503230|I503231|I503232|I503233|I503234|I500113|I503235
F500040,I500116,I500056,I500118|I500121|I500122|I500123
F500041,I500119,I500120,I500116
F500042,I500124,I500123,""
F500043,I500125,I500121,""
F500044,I500126,I500127,I500046|I500452
F500045,I500128,I500129,I500050
F500046,I500131,"",I500128
F500052,I500143,I500146,I534412|I534413|I500109|I534439|I534476
F500053,I500144,I500142,I500145
F500054,I500057,I500150,I500154|I500151|I500155
F500058,I500051,I500168,I500167|I500169
F500059,I500170,I500171,I500080
F500060,I500172,I500177,I500171|I509488|I509489|I509490|I509491|I509492
F500061,I500173,I500174,I500172
F500062,I500175,I500176,I500173
F500064,I500184,I500185,I500378|I500186|I500386|I500400
F500065,I500187,I500188,I500185
F500066,I500189,I500192,I500427|I500488|I500191|I500540
F500068,I500193,I500194,I500189
F500069,I500195,I500937,I500936
F500070,I500196,I520716,I500081
F500072,I500198,I500197,I500323|I500326
