Id,Title,Text
S500001,Нарис історії ОУН,http://dizzy.lunarbreeze.com/~ukrbi0/uploads/books/narys-istorii-oun-mirchuk/index.html#/418/zoomed<br /><br />http://lib.oun-upa.org.ua/narys_oun/
S500002,Заліщицька централізована бібліотечна система,про село Хмелева
S500003,wikipedia,https://uk.wikipedia.org/
S500004,веб-сторінка Стрийської гімназії,""
S500005,https://ridni.org,https://ridni.org/karta//Калакайло
S500006,ДІЯЛЬНІСТЬ ОУН У ТЕРНОПІЛЬСЬКОМУ ВОЄВОДСТВІ У 1929–1939 РР,""
S500007,"Центральний державний історичний архів України, м. Львів",https://tsdial.archives.gov.ua/pdf/F.%20201%20op.%202.pdf
S500008,https://www.surnamedb.com/,""
S500009,pedagogika katolicka,""
S500010,Zaleszczyki 1766-1917 Familybook Index,"ZLOCHOWSKI, Peter (Wohnort 10.10.1834 in Dupliska (Zaleszczyki)/Gal. [UA](w)) [4581]http://www.galiziengermandescendants.org/Data/Daum_Surnames/Zaleszczyki1766-1917.htm&nbsp;"
S500011,Bedrykowce(Zaleszczyki) 1785-1885 Familybook Index,http://www.galiziengermandescendants.org/Data/Daum_Surnames/Bedrykowce(Zaleszczyki)1785-1885.htm
S500012,"301 Księgi metrykalne parafii wyznania rzymskokatolickiego z terenu archidiecezji lwowskiej, sygn. 1483",http://agadd.home.net.pl/metrykalia/301/sygn.%201483/indeks.htm#6
S500013,Geni World Family Tree,"The Geni World Family Tree is found on <A href=""http://www.geni.com"" target=""_blank"">www.Geni.com</a>. Geni is owned and operated by MyHeritage."
S500014,FamilySearch Family Tree,"The FamilySearch Family Tree is published by MyHeritage under license from FamilySearch International, the largest genealogy organization in the world. FamilySearch is a nonprofit organization sponsor
ed by The Church of Jesus Christ of Latter-day Saints (Mormon Church)."
S500015,"U.S. Social Security Applications and Claims, 1936-2007","<p>Starting in 1936 the Social Security Administration started to maintain records of each individual who applied for a Social Security Number. The earliest form of these records were known as the “
Master Files of the Social Security (SSN) Holders and SSN Applications”. This was more commonly known simply as the “Enumeration System”. In the 1970s legacy records from this system were migrat
ed and new records were maintained electronically in the Numerical Identification System (NUMIDENT).</p>
<p>This collection contains records of individuals with a verified death between 1936 and 2007 or who would have been over 110 years old by December 31, 2007. There are three types of entries in NUMID
ENT: applications (SS-5), claims, and death entries. The records of applications and claims are presented here in this collection. The death entries are available on MyHeritage as the <a id="""" href=""h
ttps://www.myheritage.com/research/collection-10002/"" class=""green"">U.S. Social Security Death Index (SSDI).</a></p>
<p>The application (SS-5) records contain information extracted from the SS-5 form “Application for a Social Security Card” or “Application for Social Security Account Number.” Information in
the NUMIDENT application entries include applicant’s full name, father’s name, mother’s maiden name, sex, race/ethnic description, place of birth, and other information about the application and
subsequent changes to the applicant’s record - such as name changes especially common (and even required) when women marry. For about 43 percent of social security numbers, there are multiple appli
cation records.</p>
<p>The application records preserved by the Social Security Administration do not include records of all social security applications between 1936 and 2007. Information of applications prior to 1973 m
ay be incomplete. There may not be a record for an individual in both the application records and the death entries and there are nearly 6 million social security numbers in the application records th
at do not appear in the death entries. And conversely, there are records in the death entries that have no corresponding extant record in the application entries.</p>
<p>The claim records include information on the type of claim, the claimant’s full name, date of birth, gender, and for about half of the claim records the US state or country of birth. For a small
number of social security numbers there are multiple claim records.</p>
<p>Records in this collection may have place names that were abbreviated or personal names that were truncated in the data supplied by the Social Security Administration. MyHeritage has corrected and
expanded many of these when possible but other values remain abbreviated or truncated.</p>"
S500016,U.S. Social Security Death Index (SSDI),"Begun in 1935 by the Social Security Act signed into law by FDR, more than thirty million Americans were registered for the economic security sanctions by 1937. From 1937 to 1940, payments were made i
n one-lump sums amounts with the first amount being seventeen cents. Following amendments in 1939, the payments turned into monthly benefits and increased. Following further amendments in 1950, cost-o
f-living increases were awarded to those who were receiving benefits. From 1950 to the present, benefits have increased yearly in response to inflation concerning the costs of living."
S500017,Федеральний перепис США 1930 року,"The 1930 Census determined the population of the United States to be 122,775,046. This is an increase of almost 16 percent over the 1920 Census, which reported a population of 106,021,537. This was th
e 15th decennial census conducted in the United States under authority granted by Article I, Section 2 of the United States Constitution. It was conducted in April 1930, except in Alaska, where it was
conducted in late 1929. Until 2012 the 1930 Census is the latest available to the public, due to 72-year privacy laws. It is based on actual counts of persons living in residential structures."
S500018,Федеральний перепис США 1940 року,"We undertook the arduous task of deciphering the handwritten pages of the 1940 Census to create a searchable index for the census. This was accomplished gradually, state by state, as we covered more a
nd more of the census.
As required by the US Constitution, the census is a federal mandate to count every resident of the United States of America every 10 years. Census data is released to the public 72 years after it was
taken.
Federal census takers were asked to record information about every person who was in each household on the census day. A census taker might have visited a house on a later date, but the information he
collected was supposed to be about the people who were in the house on the census day. The basic census enumeration unit was the county. Each county was divided into enumeration districts, one for ea
ch enumerator. The completed forms were sent to the Commerce Department's Census Office in Washington, D.C.
Federal censuses are usually reliable, depending on the knowledge of the informant and the care of the census enumerator. Information may have been given to a census taker by any member of the family
or by a neighbor. Some information may have been incorrect or deliberately falsified."
S500019,"Ellis Island and Other New York Passenger Lists, 1820-1957","Early passenger lists were single page manifests and recorded minimal information about passengers. Over time forms were standardized and additional questions were added. Depending on the year, inform
ation recorded about a passenger may include name, age, gender, occupation, destination, and information regarding place of origin—e.g. native country, citizenship status, race, nationality, birthpl
ace, or last residence. By 1907 passenger manifests contained 29 columns and were two-pages wide with left and right sides. Many of the passenger manifests span two pages, and a common omission for ge
nealogists has been to locate the first page and miss the existence of the second. MyHeritage has solved this problem for the first time by stitching the double pages into single document images, ensu
ring that important information will not be missed.

Two questions that were included on the manifest beginning in 1907 were: 1) name and address of nearest friend or relative in country whence the alien came; and 2) whether going to join a relative or
friend, and if so, what relative or friend, and his name complete address. MyHeritage has indexed the names and relationships of the individuals referenced in these two additional questions, making My
Heritage the only place where these additional names are searchable.
Update June 2018: Added records primarily from crew lists, lists of detained alien passengers, U.S. citizen lists, and lists of aliens held for special inquiry.
Records in this collection come from National Archives (NARA) microfilm collections M237 (<i>Passenger Lists of Vessels Arriving at New York, New York, 1820-1897</i>) and T715 (<i>Passenger and Crew L
ists of Vessels Arriving at New York, New York, 1897-1957</i>)."
S500020,"Канада, Манітоба, Індекс одружень, 1900-1940","Записи про реєстрацію шлюбів є важливими генеалогічними даними, оскільки в них міститься не лише інформація
про наречених та їхнє громадянство на час події, а й часто додаткова інформація, наприклад, дати й місця народ
жень, заняття та попередній сімейний стан. Часто у свідоцтві про шлюб також вказано інформацію про імена, дат?
? й місця народження батьків наречених."
S500021,"Канада, Манітоба, Індекс народжень, 1880-1919","Записи реєстрації народжень є одним з ключових первинних джерел для інформації про родину, які зазвичай вида
ються протягом декількох днів після народження і, як мінімум, містять імена батьків. У багатьох випадках в ни?
? також вказано додаткові дані про батьків, наприклад, місце народження, їх вік, кількість дітей та, у випадках
записів про хрещення, - віросповідання."
S500022,BillionGraves,"<A href=""http://www.billiongraves.com/"" target=""_blank"">www.billiongraves.com"
S500023,Індекс некрологів з різних країн,"Некрологи можуть бути хорошим джерелом інформації про людину, а також можуть містити інформацію про членів с
ім'ї померлого, навіть якщо ця інформація міститься лише в тексті некролога. Кількість доступної інформації ?
?ля кожного некролога може значно відрізнятися."
S500024,Ponty Web Site,<p>Родинне дерево MyHeritage</p><p>Сімейний сайт: Ponty Web Site</p>Родинне дерево: 276295751-1
